SampleID	Kingdom	Taxon	NCBI_TaxID	Rank	Abundance	Method
sample_01	bacteria	Escherichia_coli	100	species	169	kraken2
sample_02	bacteria	Escherichia_coli	100	species	144	kraken2
sample_03	bacteria	Escherichia_coli	100	species	175	kraken2
sample_04	bacteria	Escherichia_coli	100	species	210	kraken2
sample_05	bacteria	Escherichia_coli	100	species	140	kraken2
sample_06	bacteria	Escherichia_coli	100	species	72	kraken2
sample_07	bacteria	Escherichia_coli	100	species	127	kraken2
sample_08	bacteria	Escherichia_coli	100	species	103	kraken2
sample_09	bacteria	Escherichia_coli	100	species	65	kraken2
sample_10	bacteria	Escherichia_coli	100	species	96	kraken2
sample_01	bacteria	Staphylococcus_aureus	101	species	23	kraken2
sample_02	bacteria	Staphylococcus_aureus	101	species	23	kraken2
sample_03	bacteria	Staphylococcus_aureus	101	species	33	kraken2
sample_04	bacteria	Staphylococcus_aureus	101	species	1	kraken2
sample_05	bacteria	Staphylococcus_aureus	101	species	4	kraken2
sample_06	bacteria	Staphylococcus_aureus	101	species	100	kraken2
sample_07	bacteria	Staphylococcus_aureus	101	species	84	kraken2
sample_08	bacteria	Staphylococcus_aureus	101	species	130	kraken2
sample_09	bacteria	Staphylococcus_aureus	101	species	88	kraken2
sample_10	bacteria	Staphylococcus_aureus	101	species	70	kraken2
sample_01	bacteria	Lactobacillus_rhamnosus	102	species	273	kraken2
sample_02	bacteria	Lactobacillus_rhamnosus	102	species	188	kraken2
sample_03	bacteria	Lactobacillus_rhamnosus	102	species	203	kraken2
sample_04	bacteria	Lactobacillus_rhamnosus	102	species	128	kraken2
sample_05	bacteria	Lactobacillus_rhamnosus	102	species	172	kraken2
sample_06	bacteria	Lactobacillus_rhamnosus	102	species	62	kraken2
sample_07	bacteria	Lactobacillus_rhamnosus	102	species	31	kraken2
sample_08	bacteria	Lactobacillus_rhamnosus	102	species	69	kraken2
sample_09	bacteria	Lactobacillus_rhamnosus	102	species	44	kraken2
sample_10	bacteria	Lactobacillus_rhamnosus	102	species	52	kraken2
sample_01	bacteria	Bacteroides_fragilis	103	species	81	kraken2
sample_02	bacteria	Bacteroides_fragilis	103	species	155	kraken2
sample_03	bacteria	Bacteroides_fragilis	103	species	99	kraken2
sample_04	bacteria	Bacteroides_fragilis	103	species	68	kraken2
sample_05	bacteria	Bacteroides_fragilis	103	species	124	kraken2
sample_06	bacteria	Bacteroides_fragilis	103	species	59	kraken2
sample_07	bacteria	Bacteroides_fragilis	103	species	95	kraken2
sample_08	bacteria	Bacteroides_fragilis	103	species	41	kraken2
sample_09	bacteria	Bacteroides_fragilis	103	species	56	kraken2
sample_10	bacteria	Bacteroides_fragilis	103	species	94	kraken2
