SampleID	Kingdom	Taxon	NCBI_TaxID	Rank	Abundance	Method
sample_01	fungi	Candida_albicans	104	species	13	kraken2
sample_02	fungi	Candida_albicans	104	species	10	kraken2
sample_03	fungi	Candida_albicans	104	species	9	kraken2
sample_04	fungi	Candida_albicans	104	species	8	kraken2
sample_05	fungi	Candida_albicans	104	species	2	kraken2
sample_06	fungi	Candida_albicans	104	species	62	kraken2
sample_07	fungi	Candida_albicans	104	species	68	kraken2
sample_08	fungi	Candida_albicans	104	species	106	kraken2
sample_09	fungi	Candida_albicans	104	species	88	kraken2
sample_10	fungi	Candida_albicans	104	species	35	kraken2
sample_01	fungi	Aspergillus_niger	105	species	17	kraken2
sample_02	fungi	Aspergillus_niger	105	species	11	kraken2
sample_03	fungi	Aspergillus_niger	105	species	9	kraken2
sample_04	fungi	Aspergillus_niger	105	species	19	kraken2
sample_05	fungi	Aspergillus_niger	105	species	23	kraken2
sample_06	fungi	Aspergillus_niger	105	species	58	kraken2
sample_07	fungi	Aspergillus_niger	105	species	32	kraken2
sample_08	fungi	Aspergillus_niger	105	species	40	kraken2
sample_09	fungi	Aspergillus_niger	105	species	49	kraken2
sample_10	fungi	Aspergillus_niger	105	species	59	kraken2
sample_01	fungi	Saccharomyces_cerevisiae	106	species	20	kraken2
sample_02	fungi	Saccharomyces_cerevisiae	106	species	23	kraken2
sample_03	fungi	Saccharomyces_cerevisiae	106	species	13	kraken2
sample_04	fungi	Saccharomyces_cerevisiae	106	species	13	kraken2
sample_05	fungi	Saccharomyces_cerevisiae	106	species	33	kraken2
sample_06	fungi	Saccharomyces_cerevisiae	106	species	30	kraken2
sample_07	fungi	Saccharomyces_cerevisiae	106	species	19	kraken2
sample_08	fungi	Saccharomyces_cerevisiae	106	species	28	kraken2
sample_09	fungi	Saccharomyces_cerevisiae	106	species	22	kraken2
sample_10	fungi	Saccharomyces_cerevisiae	106	species	14	kraken2
sample_01	fungi	Malassezia_restricta	107	species	9	kraken2
sample_02	fungi	Malassezia_restricta	107	species	14	kraken2
sample_03	fungi	Malassezia_restricta	107	species	7	kraken2
sample_04	fungi	Malassezia_restricta	107	species	14	kraken2
sample_05	fungi	Malassezia_restricta	107	species	0	kraken2
sample_06	fungi	Malassezia_restricta	107	species	44	kraken2
sample_07	fungi	Malassezia_restricta	107	species	36	kraken2
sample_08	fungi	Malassezia_restricta	107	species	31	kraken2
sample_09	fungi	Malassezia_restricta	107	species	36	kraken2
sample_10	fungi	Malassezia_restricta	107	species	11	kraken2
